type,approach_class,model_class,class_description,inputs,output,class_license,dataset_schema,class_annotation_sample,tags,class_parameters,reference_url,paper_url,scala_docs,scala_source,scala_source_tests,evaluator_class,paper_abstract,scala_nlp_code,python_nlp_code,python_nlu_code,wikipedia_link
assertion_dl,AssertionDLApproach,AssertionDLModel,Assertion of Clinical Entities based on Deep Learning,"document, chunk, word_embeddings",assertion,licensed,,,"clinical,assertion,dl",,,,,,,,,,,,
assertion_logreg,AssertionLogRegApproach,AssertionLogRegModel,Assertion of Clinical Entities based on Logistic Regression,"document, chunk, word_embeddings",assertion,licensed,,,"clinical,assertion,ml,logreg",,,,,,,,,,,,
chunk_entity_resolver,ChunkEntityResolverApproach,ChunkEntityResolverModel,Entity Resolution model Based on KNN using Word Embeddings + Word Movers Distance,"token, chunk_embeddings",entity,licensed,,,"clinical,entity,resolution",,,,,,,,,,,,
deidentification,DeIdentification,DeIdentificationModel,Anonymization and DeIdentification model based on outputs from DeId NERs and Replacement Dictionaries,"document, token, chunk",document,licensed,,,"clinical,deidentification,rule based",,,,,,,,,,,,
relation_extraction,RelationExtractionApproach,RelationExtractionModel,Relation Extraction model based on syntactic features using deep learning,"word_embeddings, chunk, pos, dependency",category,licensed,,,"clinical,relation,extraction",,,,,,,,,,,,
default_chunker,,Chunker,This annotator matches a pattern of part-of-speech tags in order to return meaningful phrases from document. See https://nlu.johnsnowlabs.com/docs/en/examples#part-of-speech--pos as a frerence for all possible POS tags with examples,"document, pos",chunk,open source,,,"ner,named entity recognition, chunking ","[{'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document', 'pos']"", 'param_setter_method': ""model.setInputCols(['document', 'pos'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'chunk', 'param_setter_method': ""model.setOutputCol('chunk')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'regexParsers', 'param_description': 'an array of grammar based chunk parsers', 'param_default_value': ""['<NN>+', '<PP>']"", 'param_setter_method': ""model.setRegexParsers(['<NN>+', '<PP>'])"", 'param_getter_method': 'model.getRegexParsers()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.Chunker,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/Chunker.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/ChunkerTestSpec.scala,,,,,,
ngram,,NGramGenerator,Integrates Spark ML NGram function into Spark ML with a new cumulative feature to also generate range ngrams like the scikit-learn library,"token, pos",ngrams,open source,,,"ngram, n-gramm, chunking,  shingel, ","[{'param_name': 'n', 'param_description': 'number elements per n-gram (>=1)', 'param_default_value': '2', 'param_setter_method': 'model.setN(2)', 'param_getter_method': 'model.getN()'}, {'param_name': 'enableCumulative', 'param_description': 'whether to calculate just the actual n-grams or all n-grams from 1 through n', 'param_default_value': 'False', 'param_setter_method': 'model.setEnableCumulative(False)', 'param_getter_method': 'model.getEnableCumulative()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token']"", 'param_setter_method': ""model.setInputCols(['token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'ngrams', 'param_setter_method': ""model.setOutputCol('ngrams')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.NGramGenerator,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/NGramGenerator.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/NGramGeneratorTestSpec.scala,,,,,,https://en.wikipedia.org/wiki/N-gram
classifier_dl,ClassifierDLApproach,ClassifierDLModel,Multi-class Text Classification. ClassifierDL uses the state-of-the-art Universal Sentence Encoder as an input for text classifications. The ClassifierDL annotator uses a deep learning model (DNNs) we have built inside TensorFlow and supports up to 100 classes,"sentence_embeddings, label",category,open source,,,"classification, deep learning","[{'param_name': 'classes', 'param_description': 'get the tags used to trained this NerDLModel', 'param_default_value': ""[' HUM', ' NUM', ' ENTY', ' LOC', ' DESC', ' ABBR']"", 'param_setter_method': ""model.setClasses([' HUM', ' NUM', ' ENTY', ' LOC', ' DESC', ' ABBR'])"", 'param_getter_method': 'model.getClasses()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence_embeddings']"", 'param_setter_method': ""model.setInputCols(['sentence_embeddings'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'category', 'param_setter_method': ""model.setOutputCol('category')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'tfhub_use', 'param_setter_method': ""model.setStorageRef('tfhub_use')"", 'param_getter_method': 'model.getStorageRef()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.classifier.dl.ClassifierDLModel,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/classifier/dl/ClassifierDLModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/classifier/dl/ClassifierDLTestSpec.scala,,,,,,
multi_classifier,MultiClassifierDLApproach,MultiClassifierDLModel,Multi-label Text Classification. MultiClassifierDL uses a Bidirectional GRU with Convolution model that we have built inside TensorFlow and supports up to 100 classes.,"sentence_embeddings, label",category,open source,,,"classification,multi class classification","[{'param_name': 'threshold', 'param_description': 'The minimum threshold for each label to be accepted. Default is 0.5', 'param_default_value': '0.5', 'param_setter_method': 'model.setThreshold(0.5)', 'param_getter_method': 'model.getThreshold()'}, {'param_name': 'classes', 'param_description': 'get the tags used to trained this NerDLModel', 'param_default_value': ""['toxic', 'severe_toxic', 'identity_hate', 'insult', 'obscene', 'threat']"", 'param_setter_method': ""model.setClasses(['toxic', 'severe_toxic', 'identity_hate', 'insult', 'obscene', 'threat'])"", 'param_getter_method': 'model.getClasses()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence_embeddings']"", 'param_setter_method': ""model.setInputCols(['sentence_embeddings'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'category', 'param_setter_method': ""model.setOutputCol('category')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'tfhub_use', 'param_setter_method': ""model.setStorageRef('tfhub_use')"", 'param_getter_method': 'model.getStorageRef()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.classifier.dl.MultiClassifierDLModel,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/classifier/dl/MultiClassifierDLModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/classifier/dl/MultiClassifierDLTestSpec.scala,,,,,,
sentiment_dl,SentimentDLApproach,SentimentDLModel,Multi-class Sentiment Analysis Annotator. SentimentDL is an annotator for multi-class sentiment analysis. This annotator comes with 2 available pre-trained models trained on IMDB and Twitter datasets,"sentence, label, sentence_embeddings",category,open source,,,"sentiment classification, sentiment, classification, deep learning","[{'param_name': 'threshold', 'param_description': 'The minimum threshold for the final result otheriwse it will be neutral', 'param_default_value': '0.6', 'param_setter_method': 'model.setThreshold(0.6)', 'param_getter_method': 'model.getThreshold()'}, {'param_name': 'thresholdLabel', 'param_description': 'In case the score is less than threshold, what should be the label. Default is neutral.', 'param_default_value': 'neutral', 'param_setter_method': ""model.setThresholdLabel('neutral')"", 'param_getter_method': 'model.getThresholdLabel()'}, {'param_name': 'classes', 'param_description': 'get the tags used to trained this NerDLModel', 'param_default_value': ""['positive', 'negative']"", 'param_setter_method': ""model.setClasses(['positive', 'negative'])"", 'param_getter_method': 'model.getClasses()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence_embeddings']"", 'param_setter_method': ""model.setInputCols(['sentence_embeddings'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'category', 'param_setter_method': ""model.setOutputCol('category')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'tfhub_use', 'param_setter_method': ""model.setStorageRef('tfhub_use')"", 'param_getter_method': 'model.getStorageRef()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.classifier.dl.SentimentDLModel,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/classifier/dl/SentimentDLModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/classifier/dl/SentimentDLTestSpec.scala,,,,,,
