include,repo,title,name,language,compatibility,spark_version,latest_date,dataset,download_url,file,upstream_deps,model_class,labels,reference_url,author,tags,license,edition,dimension,dataset_info,description,included_models,colab_url,case_sensitive,demo_url,scala_docs,scala_source,type,python_sample,scala_sample,buttons,real_labels
1,public/models,Danish Lemmatizer,lemma,da,2.5.5,2.4,2020-07-29,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/lemma_da_2.5.5_2.4_1596054395311.zip,lemma_da_2.5.5_2.4_1596054395311.zip,Lemmatizer,LemmatizerModel,,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/LemmatizerModel.scala,John Snow Labs,lemmatizer,open source,public,,The model is imported from [https://universaldependencies.org](https://universaldependencies.org),"This model uses context and language knowledge to assign all forms and inflections of a word to a single root. This enables the pipeline to treat the past and present tense of a verb, for example, as the same word instead of two completely different words. The lemmatizer takes into consideration the context surrounding a word to determine which root is correct when the word form alone is ambiguous.",,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/b2eb08610dd49d5b15077cc499a94b4ec1e8b861/jupyter/annotation/english/model-downloader/Create%20custom%20pipeline%20-%20NerDL.ipynb,False,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.Lemmatizer,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/LemmatizerModel.scala,lemmatizer,"model = LemmatizerModel.pretrained(""lemma"",""da"",""public/models"")\
	.setInputCols(""token"")\
	.setOutputCol(""lemma"")","val model = LemmatizerModel.pretrained(""lemma"",""da"",""public/models"")
	.setInputCols(""token"")
	.setOutputCol(""lemma"")","{:.btn-box}
<button class=""button button-orange"" disabled>Live Demo</button><br/>[Open in Colab](https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/b2eb08610dd49d5b15077cc499a94b4ec1e8b861/jupyter/annotation/english/model-downloader/Create%20custom%20pipeline%20-%20NerDL.ipynb){:.button.button-orange.button-orange-trans.co.button-icon}<br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/lemma_da_2.5.5_2.4_1596054395311.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>",
1,public/models,Part of Speech for Danish,pos_ud_ddt,da,2.5.5,2.4,2020-07-29,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/pos_ud_ddt_da_2.5.5_2.4_1596053892919.zip,pos_ud_ddt_da_2.5.5_2.4_1596053892919.zip,POS UD,PerceptronModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/pos/perceptron/PerceptronModel.scala,John Snow Labs,pos,open source,public,,The model is imported from [https://universaldependencies.org](https://universaldependencies.org),"This model annotates the part of speech of tokens in a text. The [parts of speech](https://universaldependencies.org/u/pos/) annotated include PRON (pronoun), CCONJ (coordinating conjunction), and 15 others. The part of speech model is useful for extracting the grammatical structure of a piece of text automatically.",,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/2da56c087da53a2fac1d51774d49939e05418e57/tutorials/Certification_Trainings/Public/6.Playground_DataFrames.ipynb,False,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.pos.perceptron.PerceptronApproach,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/pos/perceptron/PerceptronModel.scala,pos,"model = PerceptronModel.pretrained(""pos_ud_ddt"",""da"",""public/models"")\
	.setInputCols(""token"",""sentence"")\
	.setOutputCol(""pos"")","val model = PerceptronModel.pretrained(""pos_ud_ddt"",""da"",""public/models"")
	.setInputCols(""token"",""sentence"")
	.setOutputCol(""pos"")","{:.btn-box}
<button class=""button button-orange"" disabled>Live Demo</button><br/>[Open in Colab](https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/2da56c087da53a2fac1d51774d49939e05418e57/tutorials/Certification_Trainings/Public/6.Playground_DataFrames.ipynb){:.button.button-orange.button-orange-trans.co.button-icon}<br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/pos_ud_ddt_da_2.5.5_2.4_1596053892919.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>",
1,public/models,,dane_ner_6B_100,da,2.6.0,2.4,2020-08-30,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/dane_ner_6B_100_da_2.6.0_2.4_1598810267725.zip,dane_ner_6B_100_da_2.6.0_2.4_1598810267725.zip,glove_100d,NerDLModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,John Snow Labs,ner,open source,public,,,,,,True,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,named_entity_recognizer_dl,"model = NerDLModel.pretrained(""dane_ner_6B_100"",""da"",""public/models"")\
	.setInputCols(""sentence"",""token"",""word_embeddings"")\
	.setOutputCol(""ner"")","val model = NerDLModel.pretrained(""dane_ner_6B_100"",""da"",""public/models"")
	.setInputCols(""sentence"",""token"",""word_embeddings"")
	.setOutputCol(""ner"")","{:.btn-box}
<button class=""button button-orange"" disabled>Live Demo</button><br/><button class=""button button-orange"" disabled>Open in Colab</button><br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/dane_ner_6B_100_da_2.6.0_2.4_1598810267725.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>","['O', 'B-PER', 'I-PER', 'B-LOC', 'B-ORG', 'I-ORG', 'B-MISC', 'I-LOC', 'I-MISC']"
1,public/models,,dane_ner_6B_300,da,2.6.0,2.4,2020-08-30,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/dane_ner_6B_300_da_2.6.0_2.4_1598810268069.zip,dane_ner_6B_300_da_2.6.0_2.4_1598810268069.zip,glove_6B_300,NerDLModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,John Snow Labs,ner,open source,public,,,,,,True,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,named_entity_recognizer_dl,"model = NerDLModel.pretrained(""dane_ner_6B_300"",""da"",""public/models"")\
	.setInputCols(""sentence"",""token"",""word_embeddings"")\
	.setOutputCol(""ner"")","val model = NerDLModel.pretrained(""dane_ner_6B_300"",""da"",""public/models"")
	.setInputCols(""sentence"",""token"",""word_embeddings"")
	.setOutputCol(""ner"")","{:.btn-box}
<button class=""button button-orange"" disabled>Live Demo</button><br/><button class=""button button-orange"" disabled>Open in Colab</button><br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/dane_ner_6B_300_da_2.6.0_2.4_1598810268069.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>","['O', 'B-PER', 'I-PER', 'B-LOC', 'I-LOC', 'B-MISC', 'B-ORG', 'I-ORG', 'I-MISC']"
1,public/models,,dane_ner_840B_300,da,2.6.0,2.4,2020-08-30,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/dane_ner_840B_300_da_2.6.0_2.4_1598810268070.zip,dane_ner_840B_300_da_2.6.0_2.4_1598810268070.zip,glove_840B_300,NerDLModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,John Snow Labs,ner,open source,public,,,,,,True,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,named_entity_recognizer_dl,"model = NerDLModel.pretrained(""dane_ner_840B_300"",""da"",""public/models"")\
	.setInputCols(""sentence"",""token"",""word_embeddings"")\
	.setOutputCol(""ner"")","val model = NerDLModel.pretrained(""dane_ner_840B_300"",""da"",""public/models"")
	.setInputCols(""sentence"",""token"",""word_embeddings"")
	.setOutputCol(""ner"")","{:.btn-box}
<button class=""button button-orange"" disabled>Live Demo</button><br/><button class=""button button-orange"" disabled>Open in Colab</button><br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/dane_ner_840B_300_da_2.6.0_2.4_1598810268070.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>","['O', 'B-MISC', 'B-LOC', 'I-MISC', 'B-PER', 'I-PER', 'B-ORG', 'I-LOC', 'I-ORG']"
1,public/models,Dutch Lemmatizer,lemma,nl,2.5.0,2.4,2020-03-05,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/lemma_nl_2.5.0_2.4_1588532720582.zip,lemma_nl_2.5.0_2.4_1588532720582.zip,Lemmatizer,LemmatizerModel,,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/LemmatizerModel.scala,John Snow Labs,lemmatizer,open source,public,,The model is imported from [https://universaldependencies.org](https://universaldependencies.org),"This model uses context and language knowledge to assign all forms and inflections of a word to a single root. This enables the pipeline to treat the past and present tense of a verb, for example, as the same word instead of two completely different words. The lemmatizer takes into consideration the context surrounding a word to determine which root is correct when the word form alone is ambiguous.",,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/b2eb08610dd49d5b15077cc499a94b4ec1e8b861/jupyter/annotation/english/model-downloader/Create%20custom%20pipeline%20-%20NerDL.ipynb,False,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.Lemmatizer,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/LemmatizerModel.scala,lemmatizer,"model = LemmatizerModel.pretrained(""lemma"",""nl"",""public/models"")\
	.setInputCols(""token"")\
	.setOutputCol(""lemma"")","val model = LemmatizerModel.pretrained(""lemma"",""nl"",""public/models"")
	.setInputCols(""token"")
	.setOutputCol(""lemma"")","{:.btn-box}
<button class=""button button-orange"" disabled>Live Demo</button><br/>[Open in Colab](https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/b2eb08610dd49d5b15077cc499a94b4ec1e8b861/jupyter/annotation/english/model-downloader/Create%20custom%20pipeline%20-%20NerDL.ipynb){:.button.button-orange.button-orange-trans.co.button-icon}<br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/lemma_nl_2.5.0_2.4_1588532720582.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>",
1,public/models,Part of Speech for Dutch,pos_ud_alpino,nl,2.5.0,2.4,2020-03-05,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/pos_ud_alpino_nl_2.5.0_2.4_1588545949009.zip,pos_ud_alpino_nl_2.5.0_2.4_1588545949009.zip,POS UD,PerceptronModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/pos/perceptron/PerceptronModel.scala,John Snow Labs,pos,open source,public,,The model is imported from [https://universaldependencies.org](https://universaldependencies.org),"This model annotates the part of speech of tokens in a text. The [parts of speech](https://universaldependencies.org/u/pos/) annotated include PRON (pronoun), CCONJ (coordinating conjunction), and 15 others. The part of speech model is useful for extracting the grammatical structure of a piece of text automatically.",,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/2da56c087da53a2fac1d51774d49939e05418e57/tutorials/Certification_Trainings/Public/6.Playground_DataFrames.ipynb,False,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.pos.perceptron.PerceptronApproach,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/pos/perceptron/PerceptronModel.scala,pos,"model = PerceptronModel.pretrained(""pos_ud_alpino"",""nl"",""public/models"")\
	.setInputCols(""token"",""sentence"")\
	.setOutputCol(""pos"")","val model = PerceptronModel.pretrained(""pos_ud_alpino"",""nl"",""public/models"")
	.setInputCols(""token"",""sentence"")
	.setOutputCol(""pos"")","{:.btn-box}
<button class=""button button-orange"" disabled>Live Demo</button><br/>[Open in Colab](https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/2da56c087da53a2fac1d51774d49939e05418e57/tutorials/Certification_Trainings/Public/6.Playground_DataFrames.ipynb){:.button.button-orange.button-orange-trans.co.button-icon}<br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/pos_ud_alpino_nl_2.5.0_2.4_1588545949009.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>",
1,public/models,WikiNER 6B 100,wikiner_6B_100,nl,2.5.0,2.4,2020-03-05,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_100_nl_2.5.0_2.4_1588546201140.zip,wikiner_6B_100_nl_2.5.0_2.4_1588546201140.zip,glove_100d,NerDLModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,John Snow Labs,ner,open source,public,,The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),"WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 100 is trained with GloVe 6B 100 word embeddings, so be sure to use the same embeddings in the pipeline.",,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb,False,https://demo.johnsnowlabs.com/public/NER_NL,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,named_entity_recognizer_dl,"model = NerDLModel.pretrained(""wikiner_6B_100"",""nl"",""public/models"")\
	.setInputCols(""sentence"",""token"",""word_embeddings"")\
	.setOutputCol(""ner"")","val model = NerDLModel.pretrained(""wikiner_6B_100"",""nl"",""public/models"")
	.setInputCols(""sentence"",""token"",""word_embeddings"")
	.setOutputCol(""ner"")","{:.btn-box}
[Live Demo](https://demo.johnsnowlabs.com/public/NER_NL){:.button.button-orange}<br/>[Open in Colab](https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb){:.button.button-orange.button-orange-trans.co.button-icon}<br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_100_nl_2.5.0_2.4_1588546201140.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>","['O', 'B-LOC', 'B-ORG', 'I-ORG', 'I-LOC', 'B-PER', 'I-PER', 'B-MISC', 'I-MISC']"
1,public/models,WikiNER 6B 300,wikiner_6B_300,nl,2.5.0,2.4,2020-03-05,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_nl_2.5.0_2.4_1588546201483.zip,wikiner_6B_300_nl_2.5.0_2.4_1588546201483.zip,glove_6B_300,NerDLModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,John Snow Labs,ner,open source,public,,The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),"WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb,False,https://demo.johnsnowlabs.com/public/NER_NL,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,named_entity_recognizer_dl,"model = NerDLModel.pretrained(""wikiner_6B_300"",""nl"",""public/models"")\
	.setInputCols(""sentence"",""token"",""word_embeddings"")\
	.setOutputCol(""ner"")","val model = NerDLModel.pretrained(""wikiner_6B_300"",""nl"",""public/models"")
	.setInputCols(""sentence"",""token"",""word_embeddings"")
	.setOutputCol(""ner"")","{:.btn-box}
[Live Demo](https://demo.johnsnowlabs.com/public/NER_NL){:.button.button-orange}<br/>[Open in Colab](https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb){:.button.button-orange.button-orange-trans.co.button-icon}<br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_nl_2.5.0_2.4_1588546201483.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>","['O', 'B-PER', 'I-PER', 'B-LOC', 'I-LOC', 'B-MISC', 'I-MISC', 'B-ORG', 'I-ORG']"
1,public/models,WikiNER 840B 300,wikiner_840B_300,nl,2.5.0,2.4,2020-03-05,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_nl_2.5.0_2.4_1588546201484.zip,wikiner_840B_300_nl_2.5.0_2.4_1588546201484.zip,glove_840B_300,NerDLModel,,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,John Snow Labs,ner,open source,public,,The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),"WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb,False,https://demo.johnsnowlabs.com/public/NER_NL,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,named_entity_recognizer_dl,"model = NerDLModel.pretrained(""wikiner_840B_300"",""nl"",""public/models"")\
	.setInputCols(""sentence"",""token"",""word_embeddings"")\
	.setOutputCol(""ner"")","val model = NerDLModel.pretrained(""wikiner_840B_300"",""nl"",""public/models"")
	.setInputCols(""sentence"",""token"",""word_embeddings"")
	.setOutputCol(""ner"")","{:.btn-box}
[Live Demo](https://demo.johnsnowlabs.com/public/NER_NL){:.button.button-orange}<br/>[Open in Colab](https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb){:.button.button-orange.button-orange-trans.co.button-icon}<br/>[Download](https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_nl_2.5.0_2.4_1588546201484.zip){:.button.button-orange.button-orange-trans.arr.button-icon}<br/>","['O', 'B-MISC', 'B-LOC', 'B-PER', 'I-LOC', 'I-MISC', 'B-ORG', 'I-ORG', 'I-PER']"
