include,repo,title,name,language,compatibility,spark_version,latest_date,ts,dataset,download_url,file,upstream_deps,model_class,labels,reference_url,author,tags,license,edition,dimension,dataset_info,description,demo_url,included_models,colab_url,case_sensitive
1,clinical/models,Assertion DL Clinical Embeddings,assertion_dl,en,2.4.0,2.4,2020-01-28,1580237286004,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_en_2.4.0_2.4_1580237286004.zip,assertion_dl_en_2.4.0_2.4_1580237286004.zip,embeddings_clinical,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion DL Healthcare Embeddings,assertion_dl_healthcare,en,2.6.0,2.4,2020-09-23,1600849811713,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_healthcare_en_2.6.0_2.4_1600849811713.zip,assertion_dl_healthcare_en_2.6.0_2.4_1600849811713.zip,embeddings_healthcare_100d,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion DL Large,assertion_dl_large,en,2.4.2,2.4,2020-05-21,1590022282256,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,embeddings_clinical,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion DL I2B2,assertion_i2b2,en,2.4.2,2.4,2020-05-07,1588811895962,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_i2b2_en_2.4.2_2.4_1588811895962.zip,assertion_i2b2_en_2.4.2_2.4_1588811895962.zip,embeddings_clinical,AssertionDLModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
1,clinical/models,Assertion ML,assertion_ml,en,2.4.0,2.4,2020-01-28,1580237286004,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_ml_en_2.4.0_2.4_1580237286004.zip,assertion_ml_en_2.4.0_2.4_1580237286004.zip,embeddings_clinical,AssertionLogRegModel,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2,en",Licensed ,Healthcare,,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`",Deep learning named entity recognition model for assertions ,,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False
0,clinical/models,Biobert Clinical Base Cased,biobert_clinical_base_cased,en,2.5.0,2.4,2020-05-26,1590489819943,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,,BertEmbeddings,Contextual feature vectors based on biobert_clinical_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_clinical_base_cased,,,,True
0,clinical/models,Biobert Discharge Base Cased,biobert_discharge_base_cased,en,2.5.0,2.4,2020-05-26,1590490193605,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,,BertEmbeddings,Contextual feature vectors based on biobert_discharge_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_discharge_base_cased,,,,True
0,clinical/models,Biobert Pmc Base Cased,biobert_pmc_base_cased,en,2.5.0,2.4,2020-05-26,1590489029151,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,,BertEmbeddings,Contextual feature vectors based on biobert_pmc_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_pmc_base_cased,,,,True
1,clinical/models,Biobert Pubmed Base Cased,biobert_pubmed_base_cased,en,2.5.0,2.4,2020-09-15,1600182457870,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_pubmed_base_cased_en_2.6.0_2.4_1600182457870.zip,biobert_pubmed_base_cased_en_2.6.0_2.4_1600182457870.zip,,BertEmbeddings,Contextual feature vectors based on biobert_pubmed_base_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_pubmed_base_cased,,,,True
1,clinical/models,Biobert Pubmed Large Cased,biobert_pubmed_large_cased,en,2.5.0,2.4,2020-09-16,1600240494946,s3,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/biobert_pubmed_large_cased_en_2.6.0_2.4_1600240494946.zip,biobert_pubmed_large_cased_en_2.6.0_2.4_1600240494946.zip,,BertEmbeddings,Contextual feature vectors based on biobert_pubmed_large_cased,https://github.com/naver/biobert-pretrained,John Snow Labs,"clinical,bert,embeddings,en",Licensed ,Healthcare,768,Trained on PubMed + MIMIC III corpora,Contextual embeddings representation using biobert_pubmed_large_cased,,,,True
