repo,name,language,compatibility,spark_version,latest_date,ts,file,dataset,upstream_deps,model_class,dataset_info,labels,reference_url,author,tags,license,edition,inputs,output,dimension,description,demo_url,download_url,included_models,type,colab_url,case_sensitive,title
clinical/models,assertion_dl,en,2.4.0,2.4,2020-01-28,1580237286004,assertion_dl_en_2.4.0_2.4_1580237286004.zip,s3,embeddings_clinical,AssertionDLModel,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`","hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2",Licensed ,Healthcare,"document, chunk, word_embeddings",assertion,,"Deep learning named entity recognition model for assertions. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.",,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_en_2.4.0_2.4_1580237286004.zip,,ner,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False,Assertion DL
clinical/models,assertion_dl_healthcare,en,2.6.0,2.4,2020-09-23,1600849811713,assertion_dl_healthcare_en_2.6.0_2.4_1600849811713.zip,s3,,,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,assertion_dl_large,en,2.4.2,2.4,2020-05-21,1590022282256,assertion_dl_large_en_2.4.2_2.4_1590022282256.zip,s3,embeddings_clinical,AssertionDLModel,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`","hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2",Licensed ,Healthcare,"document, chunk, word_embeddings",assertion,,"Deep learning named entity recognition model for assertions. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.",,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,,ner,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False,Assertion DL Large
clinical/models,assertion_i2b2,en,2.4.2,2.4,2020-05-07,1588811895962,assertion_i2b2_en_2.4.2_2.4_1588811895962.zip,s3,,,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,assertion_ml,en,2.4.0,2.4,2020-01-28,1580237286004,assertion_ml_en_2.4.0_2.4_1580237286004.zip,s3,embeddings_clinical,AssertionLogRegModel,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with `embeddings_clinical`","hypothetical, present, absent, possible, conditional, associated_with_someone_else",https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,John Snow Labs,"clinical,assertion,dl,n2c2",Licensed ,Healthcare,"document, chunk, word_embeddings",assertion,,Logistic regression based named entity recognition model for assertions.,,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,,ner,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,False,Assertion ML
clinical/models,biobert_clinical_base_cased,en,2.5.0,2.4,2020-05-26,1590489819943,biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_discharge_base_cased,en,2.5.0,2.4,2020-05-26,1590490193605,biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pmc_base_cased,en,2.5.0,2.4,2020-05-26,1590489029151,biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pubmed_base_cased,en,2.5.0,2.4,2020-09-15,1600182457870,biobert_pubmed_base_cased_en_2.5.0_2.4_1600182457870.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pubmed_large_cased,en,2.5.0,2.4,2020-09-16,1600240494946,biobert_pubmed_large_cased_en_2.5.0_2.4_1600240494946.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,biobert_pubmed_pmc_base_cased,en,2.5.0,2.4,2020-05-26,1590489367180,biobert_pubmed_pmc_base_cased_en_2.5.0_2.4_1590489367180.zip,s3,,BertEmbeddings,,,,John Snow Labs,"clinical,relation,extraction,temporal",Licensed ,Healthcare,"document, sentence, token",word_embeddings,,,,,,,,,
clinical/models,chunkresolve_ICD10GM,de,2.5.5,2.4,2020-09-06,1599431635423,chunkresolve_ICD10GM_de_2.5.5_2.4_1599431635423.zip,s3,,ChunkEntityResolverModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,chunkresolve_athena_conditions_healthcare,en,2.6.0,2.4,2020-09-16,1600265258887,chunkresolve_athena_conditions_healthcare_en_2.6.0_2.4_1600265258887.zip,s3,,ChunkEntityResolverModel,,,,,,Licensed ,,,,,,,,,,,,
clinical/models,chunkresolve_cpt_clinical,en,2.4.2,2.4,2020-04-21,1587491373378,chunkresolve_cpt_clinical_en_2.4.2_2.4_1587491373378.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on Current Procedural Terminology dataset,,,John Snow Labs,"clinical,entity,resolution,cpt",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_clinical,en,2.4.2,2.4,2020-04-21,1587491222166,chunkresolve_icd10cm_clinical_en_2.4.2_2.4_1587491222166.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10 Clinical Modification datasetwith tenths of variations per code,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_diseases_clinical,en,2.4.5,2.4,2020-04-28,1588105984876,chunkresolve_icd10cm_diseases_clinical_en_2.4.5_2.4_1588105984876.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10CM Dataset Range: A000-N989 Except Neoplasms and Musculoskeletal,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,diseases",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
clinical/models,chunkresolve_icd10cm_injuries_clinical,en,2.4.5,2.4,2020-04-28,1588103825347,chunkresolve_icd10cm_injuries_clinical_en_2.4.5_2.4_1588103825347.zip,s3,embeddings_clinical,ChunkEntityResolverModel,Trained on ICD10CM Dataset Range: S0000XA-S98929S ,ICD10-CM Codes and their normalized definition,https://www.icd10data.com/ICD10CM/Codes/S00-T88,John Snow Labs,"clinical,entity,resolution,icd10,icd10cm,injuries",Licensed ,Healthcare,"token, chunk_embeddings",entity,,,,,,,,,
